BOROUGH,BUILDING CLASS CATEGORY,,,NUMBER OF SALES,MINIMUM SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,MAXIMUM SALE PRICE
Manhattan,01 ONE FAMILY HOMES,,,89,200000,8235346,6350000,41000000
Manhattan,02 TWO FAMILY HOMES,,,74,424797,5620562,3725000,43500000
Manhattan,03 THREE FAMILY HOMES,,,40,816425,5684533,2965000,27400000
Bronx,01 ONE FAMILY HOMES,,,970,200000,499060,425000,12303058
Bronx,02 TWO FAMILY HOMES,,,1409,200000,523501,512000,5400000
Bronx,03 THREE FAMILY HOMES,,,546,200000,585382,600000,2600000
Brooklyn,01 ONE FAMILY HOMES,,,2277,200000,980737,710000,12900000
Brooklyn,02 TWO FAMILY HOMES,,,3461,200000,1047859,860000,7630000
Brooklyn,03 THREE FAMILY HOMES,,,1069,200000,1232547,1091500,6750000
Queens,01 ONE FAMILY HOMES,,,5943,200000,645921,575000,5500000
Queens,02 TWO FAMILY HOMES,,,3567,200000,761639,709000,5700000
Queens,03 THREE FAMILY HOMES,,,628,200000,990500,980000,6800000
Staten Island,01 ONE FAMILY HOMES,,,3712,200000,520214,486669,11900000
Staten Island,02 TWO FAMILY HOMES,,,1412,200000,625141,625000,1900000
Staten Island,03 THREE FAMILY HOMES,,,37,215000,533025,515000,950000
Citywide,01 ONE FAMILY HOMES,,,12991,200000,709715,535000,41000000
Citywide,02 TWO FAMILY HOMES,,,9923,200000,844466,690000,43500000
Citywide,03 THREE FAMILY HOMES,,,2320,200000,1080323,850000,27400000
,,,,25234,,,,
